type,timestamp,session_profit_loss,profit_loss,position,mark_price,instrument_name,index_price
delivery,1596787200120.000000000000,212.144298350000,0.058650000000,2.3,0.000000000000,BTC-7AUG20-11000-P,11792.710000000000
delivery,1596787200120.000000000000,212.144298350000,0.007878271000,1.0,0.003621729000,BTC-7AUG20-11750-C,11792.710000000000
delivery,1595577600115.000000000000,47.891078052000,-0.015333457000,0.8,0.027666821000,BTC-24JUL20-9250-C,9513.200000000000
delivery,1595577600115.000000000000,47.891078052000,0.050000000000,2.0,0.000000000000,BTC-24JUL20-9250-P,9513.200000000000
delivery,1595577600115.000000000000,47.891078052000,0.014534945000,1.2,0.001387546000,BTC-24JUL20-9500-C,9513.200000000000
delivery,1595318400258.000000000000,210.846364110000,0.006000000000,0.8,0.000000000000,BTC-21JUL20-9125-P,9295.710000000000
delivery,1594540800232.000000000000,22.660965177000,0.004800000000,1.2,0.000000000000,BTC-12JUL20-9125-P,9254.870000000000
delivery,1594540800232.000000000000,22.660965177000,0.011947582000,2.0,0.000526209000,BTC-12JUL20-9250-C,9254.870000000000
delivery,1594368000241.000000000000,390.886264048000,0.022400000000,1.6,0.000000000000,BTC-10JUL20-9000-P,9152.230000000000
delivery,1594368000241.000000000000,390.886264048000,0.016500000000,1.5,0.000000000000,BTC-10JUL20-9250-C,9152.230000000000
delivery,1593763200223.000000000000,182.260621377000,0.012750000000,1.5,0.000000000000,BTC-3JUL20-9000-P,9101.190000000000
delivery,1593763200223.000000000000,182.260621377000,0.015000000000,1.5,0.000000000000,BTC-3JUL20-9250-C,9101.190000000000
delivery,1593331200459.000000000000,251.047120120000,-0.020770644000,2.8,0.055918087000,BTC-28JUN20-9500-P,8996.910000000000
delivery,1592985600491.000000000000,222.780490808000,-0.005538164000,2.0,0.007269082000,BTC-24JUN20-9625-P,9555.540000000000
delivery,1592985600491.000000000000,222.780490808000,0.001200000000,0.6,0.000000000000,BTC-24JUN20-9750-C,9555.540000000000
delivery,1592812800479.000000000000,85.903123883000,0.012750000000,1.5,0.000000000000,BTC-22JUN20-9250-P,9423.670000000000
delivery,1592812800479.000000000000,85.903123883000,0.001468879000,1.1,0.005164655000,BTC-22JUN20-9375-C,9423.670000000000
delivery,1592640000453.000000000000,27.246776048000,-0.007000000000,3.5,0.000000000000,BTC-20JUN20-9375-C,9298.710000000000
delivery,1592640000453.000000000000,27.246776048000,0.001943454000,1.5,0.008204364000,BTC-20JUN20-9375-P,9298.710000000000
delivery,1592467200466.000000000000,117.869385426000,0.025600000000,3.2,0.000000000000,BTC-18JUN20-9375-P,9431.810000000000
delivery,1592467200466.000000000000,117.869385426000,0.042000000000,4.0,0.000000000000,BTC-18JUN20-9500-C,9431.810000000000
delivery,1592121600477.000000000000,51.553647612000,0.007000000000,2.0,0.000000000000,BTC-14JUN20-9375-P,9399.940000000000
delivery,1592121600477.000000000000,51.553647612000,0.020000000000,5.0,0.000000000000,BTC-14JUN20-9500-C,9399.940000000000
delivery,1592035200478.000000000000,38.338740586000,0.018050000000,3.0,0.000000000000,BTC-13JUN20-9500-C,9433.280000000000
delivery,1592035200478.000000000000,38.338740586000,0.008781504000,3.0,0.007072832000,BTC-13JUN20-9500-P,9433.280000000000
delivery,1591948800465.000000000000,548.837940292000,0.044200000000,3.4,0.000000000000,BTC-12JUN20-9750-C,9435.190000000000
delivery,1591948800465.000000000000,548.837940292000,-0.083529313000,3.5,0.033365518000,BTC-12JUN20-9750-P,9435.190000000000
delivery,1591862400450.000000000000,76.762066103000,0.016137751000,3.5,0.005889214000,BTC-11JUN20-9750-C,9807.760000000000
delivery,1591862400450.000000000000,76.762066103000,0.024000000000,3.0,0.000000000000,BTC-11JUN20-9750-P,9807.760000000000
delivery,1591776000398.000000000000,90.540801481000,0.009730572000,3.0,0.000256476000,BTC-10JUN20-9750-P,9747.500000000000
delivery,1591689600499.000000000000,87.166087899000,0.018000000000,3.0,0.000000000000,BTC-9JUN20-9625-P,9684.700000000000
delivery,1591689600499.000000000000,87.166087899000,0.011000000000,2.0,0.000000000000,BTC-9JUN20-9750-C,9684.700000000000
delivery,1591603200462.000000000000,125.804557685000,0.025500000000,3.0,0.000000000000,BTC-8JUN20-9625-P,9728.650000000000
delivery,1591603200462.000000000000,125.804557685000,0.012350000000,1.9,0.000000000000,BTC-8JUN20-9750-C,9728.650000000000
delivery,1591516800471.000000000000,66.926119757000,0.015600000000,2.6,0.000000000000,BTC-7JUN20-9625-P,9659.180000000000
delivery,1591516800471.000000000000,66.926119757000,0.010000000000,2.0,0.000000000000,BTC-7JUN20-9750-C,9659.180000000000
delivery,1591430400425.000000000000,218.502917938000,0.007721961000,1.9,0.001541073000,BTC-6JUN20-9625-P,9610.190000000000
delivery,1591430400425.000000000000,218.502917938000,0.021250000000,2.5,0.000000000000,BTC-6JUN20-9750-C,9610.190000000000
delivery,1591344000477.000000000000,184.669982319000,0.053326299000,4.0,0.001952079000,BTC-5JUN20-9750-C,9769.070000000000
delivery,1591257600488.000000000000,173.542119056000,0.001946457000,0.8,0.003066929000,BTC-4JUN20-9625-C,9654.610000000000
delivery,1591171200491.000000000000,929.839092004000,0.004200000000,0.6,0.000000000000,BTC-3JUN20-9500-P,9514.560000000000
delivery,1591084800477.000000000000,698.777042559000,0.006750000000,0.9,0.000000000000,BTC-2JUN20-9500-P,10108.550000000000
delivery,1590825600466.000000000000,44.199002971000,0.006000000000,1.5,0.000000000000,BTC-30MAY20-9250-P,9545.880000000000
delivery,1590739200528.000000000000,547.559128848000,0.001000000000,1.0,0.000000000000,BTC-29MAY20-9000-P,9520.350000000000